DOSBox version 0.72
Copyright 2002-2007 DOSBox Team, published under GNU GPL.
---
CONFIG:Loading primary settings from config file /home/fraggle/.dosboxrc
MIDI:Can't find device:alsa, finding default handler.
MIDI:Opened device:none
Serial1: Modem could not open TCP port 23.
OPL_write: 0, c3
OPL_write: 1, 37
OPL_write: 0, 4b
OPL_write: 1, c
OPL_write: 0, 48
OPL_write: 1, c
OPL_write: 0, a3
OPL_write: 1, b2
OPL_write: 0, b3
OPL_write: 1, 21
OPL_write: 0, 4c
OPL_write: 1, bf
OPL_write: 0, 2c
OPL_write: 1, 60
OPL_write: 0, 6c
OPL_write: 1, ff
OPL_write: 0, 8c
OPL_write: 1, 7
OPL_write: 0, ec
OPL_write: 1, 1
OPL_write: 0, 49
OPL_write: 1, 9e
OPL_write: 0, 29
OPL_write: 1, e2
OPL_write: 0, 69
OPL_write: 1, f2
OPL_write: 0, 89
OPL_write: 1, 17
OPL_write: 0, e9
OPL_write: 1, 0
OPL_write: 0, c4
OPL_write: 1, 30
OPL_write: 0, 4c
OPL_write: 1, 8c
OPL_write: 0, a4
OPL_write: 1, b2
OPL_write: 0, b4
OPL_write: 1, 21
OPL_write: 0, 4d
OPL_write: 1, bf
OPL_write: 0, 2d
OPL_write: 1, a0
OPL_write: 0, 6d
OPL_write: 1, ff
OPL_write: 0, 8d
OPL_write: 1, 7
OPL_write: 0, ed
OPL_write: 1, 0
OPL_write: 0, 4a
OPL_write: 1, 9e
OPL_write: 0, 2a
OPL_write: 1, e0
OPL_write: 0, 6a
OPL_write: 1, f2
OPL_write: 0, 8a
OPL_write: 1, 17
OPL_write: 0, ea
OPL_write: 1, 1
OPL_write: 0, c5
OPL_write: 1, 30
OPL_write: 0, 4d
OPL_write: 1, 8c
OPL_write: 0, a5
OPL_write: 1, 6c
OPL_write: 0, b5
OPL_write: 1, 23
OPL_write: 0, b3
OPL_write: 1, 1
OPL_write: 0, b4
OPL_write: 1, 1
OPL_write: 0, b5
OPL_write: 1, 3
OPL_write: 0, 53
OPL_write: 1, 3f
OPL_write: 0, 33
OPL_write: 1, 94
OPL_write: 0, 73
OPL_write: 1, f4
OPL_write: 0, 93
OPL_write: 1, 36
OPL_write: 0, f3
OPL_write: 1, 0
OPL_write: 0, 50
OPL_write: 1, 3f
OPL_write: 0, 30
OPL_write: 1, 30
OPL_write: 0, 70
OPL_write: 1, f1
OPL_write: 0, 90
OPL_write: 1, 5
OPL_write: 0, f0
OPL_write: 1, 1
OPL_write: 0, c6
OPL_write: 1, 37
OPL_write: 0, 53
OPL_write: 1, c
OPL_write: 0, 50
OPL_write: 1, c
OPL_write: 0, a6
OPL_write: 1, cc
OPL_write: 0, b6
OPL_write: 1, 21
OPL_write: 0, 54
OPL_write: 1, bf
OPL_write: 0, 34
OPL_write: 1, 60
OPL_write: 0, 74
OPL_write: 1, ff
OPL_write: 0, 94
OPL_write: 1, 7
OPL_write: 0, f4
OPL_write: 1, 1
OPL_write: 0, 51
OPL_write: 1, 9e
OPL_write: 0, 31
OPL_write: 1, e2
OPL_write: 0, 71
OPL_write: 1, f2
OPL_write: 0, 91
OPL_write: 1, 17
OPL_write: 0, f1
OPL_write: 1, 0
OPL_write: 0, c7
OPL_write: 1, 30
OPL_write: 0, 54
OPL_write: 1, 8c
OPL_write: 0, a7
OPL_write: 1, cc
OPL_write: 0, b7
OPL_write: 1, 21
OPL_write: 0, 55
OPL_write: 1, bf
OPL_write: 0, 35
OPL_write: 1, a0
OPL_write: 0, 75
OPL_write: 1, ff
OPL_write: 0, 95
OPL_write: 1, 7
OPL_write: 0, f5
OPL_write: 1, 0
OPL_write: 0, 52
OPL_write: 1, 9e
OPL_write: 0, 32
OPL_write: 1, e0
OPL_write: 0, 72
OPL_write: 1, f2
OPL_write: 0, 92
OPL_write: 1, 17
OPL_write: 0, f2
OPL_write: 1, 1
OPL_write: 0, c8
OPL_write: 1, 30
OPL_write: 0, 55
OPL_write: 1, 8c
OPL_write: 0, a8
OPL_write: 1, a1
OPL_write: 0, b8
OPL_write: 1, 23
OPL_write: 0, b6
OPL_write: 1, 1
OPL_write: 0, b7
OPL_write: 1, 1
OPL_write: 0, b8
OPL_write: 1, 3
OPL_write: 0, 44
OPL_write: 1, 3f
OPL_write: 0, 24
OPL_write: 1, 94
OPL_write: 0, 64
OPL_write: 1, f4
OPL_write: 0, 84
OPL_write: 1, 36
OPL_write: 0, e4
OPL_write: 1, 0
OPL_write: 0, 41
OPL_write: 1, 3f
OPL_write: 0, 21
OPL_write: 1, 30
OPL_write: 0, 61
OPL_write: 1, f1
OPL_write: 0, 81
OPL_write: 1, 5
OPL_write: 0, e1
OPL_write: 1, 1
OPL_write: 0, c1
OPL_write: 1, 37
OPL_write: 0, 44
OPL_write: 1, c
OPL_write: 0, 41
OPL_write: 1, c
OPL_write: 0, a1
OPL_write: 1, e7
OPL_write: 0, b1
OPL_write: 1, 21
OPL_write: 0, 45
OPL_write: 1, bf
OPL_write: 0, 25
OPL_write: 1, 60
OPL_write: 0, 65
OPL_write: 1, ff
OPL_write: 0, 85
OPL_write: 1, 7
OPL_write: 0, e5
OPL_write: 1, 1
OPL_write: 0, 42
OPL_write: 1, 9e
OPL_write: 0, 22
OPL_write: 1, e2
OPL_write: 0, 62
OPL_write: 1, f2
OPL_write: 0, 82
OPL_write: 1, 17
OPL_write: 0, e2
OPL_write: 1, 0
OPL_write: 0, c2
OPL_write: 1, 30
OPL_write: 0, 45
OPL_write: 1, 8c
OPL_write: 0, a2
OPL_write: 1, e7
OPL_write: 0, b2
OPL_write: 1, 21
OPL_write: 0, 4b
OPL_write: 1, bf
OPL_write: 0, 2b
OPL_write: 1, a0
OPL_write: 0, 6b
OPL_write: 1, ff
OPL_write: 0, 8b
OPL_write: 1, 7
OPL_write: 0, eb
OPL_write: 1, 0
OPL_write: 0, 48
OPL_write: 1, 9e
OPL_write: 0, 28
OPL_write: 1, e0
OPL_write: 0, 68
OPL_write: 1, f2
OPL_write: 0, 88
OPL_write: 1, 17
OPL_write: 0, e8
OPL_write: 1, 1
OPL_write: 0, c3
OPL_write: 1, 30
OPL_write: 0, 4b
OPL_write: 1, 8c
OPL_write: 0, a3
OPL_write: 1, d8
OPL_write: 0, b3
OPL_write: 1, 23
OPL_write: 0, b1
OPL_write: 1, 1
OPL_write: 0, b2
OPL_write: 1, 1
OPL_write: 0, b3
OPL_write: 1, 3
OPL_write: 0, 4c
OPL_write: 1, 3f
OPL_write: 0, 2c
OPL_write: 1, 94
OPL_write: 0, 6c
OPL_write: 1, f4
OPL_write: 0, 8c
OPL_write: 1, 36
OPL_write: 0, ec
OPL_write: 1, 0
OPL_write: 0, 49
OPL_write: 1, 3f
OPL_write: 0, 29
OPL_write: 1, 30
OPL_write: 0, 69
OPL_write: 1, f1
OPL_write: 0, 89
OPL_write: 1, 5
OPL_write: 0, e9
OPL_write: 1, 1
OPL_write: 0, c4
OPL_write: 1, 37
OPL_write: 0, 4c
OPL_write: 1, c
OPL_write: 0, 49
OPL_write: 1, c
OPL_write: 0, a4
OPL_write: 1, 4
OPL_write: 0, b4
OPL_write: 1, 22
OPL_write: 0, 4d
OPL_write: 1, bf
OPL_write: 0, 2d
OPL_write: 1, 60
OPL_write: 0, 6d
OPL_write: 1, ff
OPL_write: 0, 8d
OPL_write: 1, 7
OPL_write: 0, ed
OPL_write: 1, 1
OPL_write: 0, 4a
OPL_write: 1, 9e
OPL_write: 0, 2a
OPL_write: 1, e2
OPL_write: 0, 6a
OPL_write: 1, f2
OPL_write: 0, 8a
OPL_write: 1, 17
OPL_write: 0, ea
OPL_write: 1, 0
OPL_write: 0, c5
OPL_write: 1, 30
OPL_write: 0, 4d
OPL_write: 1, 8c
OPL_write: 0, a5
OPL_write: 1, 4
OPL_write: 0, b5
OPL_write: 1, 22
OPL_write: 0, 53
OPL_write: 1, bf
OPL_write: 0, 33
OPL_write: 1, a0
OPL_write: 0, 73
OPL_write: 1, ff
OPL_write: 0, 93
OPL_write: 1, 7
OPL_write: 0, f3
OPL_write: 1, 0
OPL_write: 0, 50
OPL_write: 1, 9e
OPL_write: 0, 30
OPL_write: 1, e0
OPL_write: 0, 70
OPL_write: 1, f2
OPL_write: 0, 90
OPL_write: 1, 17
OPL_write: 0, f0
OPL_write: 1, 1
OPL_write: 0, c6
OPL_write: 1, 30
OPL_write: 0, 53
OPL_write: 1, 8c
OPL_write: 0, a6
OPL_write: 1, 9
OPL_write: 0, b6
OPL_write: 1, 26
OPL_write: 0, b4
OPL_write: 1, 2
OPL_write: 0, b5
OPL_write: 1, 2
OPL_write: 0, b6
OPL_write: 1, 6
OPL_write: 0, 54
OPL_write: 1, 3f
OPL_write: 0, 34
OPL_write: 1, 94
OPL_write: 0, 74
OPL_write: 1, f4
OPL_write: 0, 94
OPL_write: 1, 36
OPL_write: 0, f4
OPL_write: 1, 0
OPL_write: 0, 51
OPL_write: 1, 3f
OPL_write: 0, 31
OPL_write: 1, 30
OPL_write: 0, 71
OPL_write: 1, f1
OPL_write: 0, 91
OPL_write: 1, 5
OPL_write: 0, f1
OPL_write: 1, 1
OPL_write: 0, c7
OPL_write: 1, 37
OPL_write: 0, 54
OPL_write: 1, c
OPL_write: 0, 51
OPL_write: 1, c
OPL_write: 0, a7
OPL_write: 1, 23
OPL_write: 0, b7
OPL_write: 1, 22
OPL_write: 0, 55
OPL_write: 1, bf
OPL_write: 0, 35
OPL_write: 1, 60
OPL_write: 0, 75
OPL_write: 1, ff
OPL_write: 0, 95
OPL_write: 1, 7
OPL_write: 0, f5
OPL_write: 1, 1
OPL_write: 0, 52
OPL_write: 1, 9e
OPL_write: 0, 32
OPL_write: 1, e2
OPL_write: 0, 72
OPL_write: 1, f2
OPL_write: 0, 92
OPL_write: 1, 17
OPL_write: 0, f2
OPL_write: 1, 0
OPL_write: 0, c8
OPL_write: 1, 30
OPL_write: 0, 55
OPL_write: 1, 8c
OPL_write: 0, a8
OPL_write: 1, 23
OPL_write: 0, b8
OPL_write: 1, 22
OPL_write: 0, 44
OPL_write: 1, bf
OPL_write: 0, 24
OPL_write: 1, a0
OPL_write: 0, 64
OPL_write: 1, ff
OPL_write: 0, 84
OPL_write: 1, 7
OPL_write: 0, e4
OPL_write: 1, 0
OPL_write: 0, 41
OPL_write: 1, 9e
OPL_write: 0, 21
OPL_write: 1, e0
OPL_write: 0, 61
OPL_write: 1, f2
OPL_write: 0, 81
OPL_write: 1, 17
OPL_write: 0, e1
OPL_write: 1, 1
OPL_write: 0, c1
OPL_write: 1, 30
OPL_write: 0, 44
OPL_write: 1, 8c
OPL_write: 0, a1
OPL_write: 1, 28
OPL_write: 0, b1
OPL_write: 1, 26
OPL_write: 0, b7
OPL_write: 1, 2
OPL_write: 0, b8
OPL_write: 1, 2
OPL_write: 0, b1
OPL_write: 1, 6
OPL_write: 0, 45
OPL_write: 1, 3f
OPL_write: 0, 25
OPL_write: 1, 94
OPL_write: 0, 65
OPL_write: 1, f4
OPL_write: 0, 85
OPL_write: 1, 36
OPL_write: 0, e5
OPL_write: 1, 0
OPL_write: 0, 42
OPL_write: 1, 3f
OPL_write: 0, 22
OPL_write: 1, 30
OPL_write: 0, 62
OPL_write: 1, f1
OPL_write: 0, 82
OPL_write: 1, 5
OPL_write: 0, e2
OPL_write: 1, 1
OPL_write: 0, c2
OPL_write: 1, 37
OPL_write: 0, 45
OPL_write: 1, c
OPL_write: 0, 42
OPL_write: 1, c
OPL_write: 0, a2
OPL_write: 1, 44
OPL_write: 0, b2
OPL_write: 1, 22
OPL_write: 0, 4b
OPL_write: 1, bf
OPL_write: 0, 2b
OPL_write: 1, 60
OPL_write: 0, 6b
OPL_write: 1, ff
OPL_write: 0, 8b
OPL_write: 1, 7
OPL_write: 0, eb
OPL_write: 1, 1
OPL_write: 0, 48
OPL_write: 1, 9e
OPL_write: 0, 28
OPL_write: 1, e2
OPL_write: 0, 68
OPL_write: 1, f2
OPL_write: 0, 88
OPL_write: 1, 17
OPL_write: 0, e8
OPL_write: 1, 0
OPL_write: 0, c3
OPL_write: 1, 30
OPL_write: 0, 4b
OPL_write: 1, 8c
OPL_write: 0, a3
OPL_write: 1, 44
OPL_write: 0, b3
OPL_write: 1, 22
OPL_write: 0, 4c
OPL_write: 1, bf
OPL_write: 0, 2c
OPL_write: 1, a0
OPL_write: 0, 6c
OPL_write: 1, ff
OPL_write: 0, 8c
OPL_write: 1, 7
OPL_write: 0, ec
OPL_write: 1, 0
OPL_write: 0, 49
OPL_write: 1, 9e
OPL_write: 0, 29
OPL_write: 1, e0
OPL_write: 0, 69
OPL_write: 1, f2
OPL_write: 0, 89
OPL_write: 1, 17
OPL_write: 0, e9
OPL_write: 1, 1
OPL_write: 0, c4
OPL_write: 1, 30
OPL_write: 0, 4c
OPL_write: 1, 8c
OPL_write: 0, a4
OPL_write: 1, 49
OPL_write: 0, b4
OPL_write: 1, 26
OPL_write: 0, b2
OPL_write: 1, 2
OPL_write: 0, b3
OPL_write: 1, 2
OPL_write: 0, b4
OPL_write: 1, 6
OPL_write: 0, 4d
OPL_write: 1, 3f
OPL_write: 0, 2d
OPL_write: 1, 94
OPL_write: 0, 6d
OPL_write: 1, f4
OPL_write: 0, 8d
OPL_write: 1, 36
OPL_write: 0, ed
OPL_write: 1, 0
OPL_write: 0, 4a
OPL_write: 1, 3f
OPL_write: 0, 2a
OPL_write: 1, 30
OPL_write: 0, 6a
OPL_write: 1, f1
OPL_write: 0, 8a
OPL_write: 1, 5
OPL_write: 0, ea
OPL_write: 1, 1
OPL_write: 0, c5
OPL_write: 1, 37
OPL_write: 0, 4d
OPL_write: 1, c
OPL_write: 0, 4a
OPL_write: 1, c
OPL_write: 0, a5
OPL_write: 1, 66
OPL_write: 0, b5
OPL_write: 1, 22
OPL_write: 0, 53
OPL_write: 1, bf
OPL_write: 0, 33
OPL_write: 1, 60
OPL_write: 0, 73
OPL_write: 1, ff
OPL_write: 0, 93
OPL_write: 1, 7
OPL_write: 0, f3
OPL_write: 1, 1
OPL_write: 0, 50
OPL_write: 1, 9e
OPL_write: 0, 30
OPL_write: 1, e2
OPL_write: 0, 70
OPL_write: 1, f2
OPL_write: 0, 90
OPL_write: 1, 17
OPL_write: 0, f0
OPL_write: 1, 0
OPL_write: 0, c6
OPL_write: 1, 30
OPL_write: 0, 53
OPL_write: 1, 8c
OPL_write: 0, a6
OPL_write: 1, 66
OPL_write: 0, b6
OPL_write: 1, 22
OPL_write: 0, 54
OPL_write: 1, bf
OPL_write: 0, 34
OPL_write: 1, a0
OPL_write: 0, 74
OPL_write: 1, ff
OPL_write: 0, 94
OPL_write: 1, 7
OPL_write: 0, f4
OPL_write: 1, 0
OPL_write: 0, 51
OPL_write: 1, 9e
OPL_write: 0, 31
OPL_write: 1, e0
OPL_write: 0, 71
OPL_write: 1, f2
OPL_write: 0, 91
OPL_write: 1, 17
OPL_write: 0, f1
OPL_write: 1, 1
OPL_write: 0, c7
OPL_write: 1, 30
OPL_write: 0, 54
OPL_write: 1, 8c
OPL_write: 0, a7
OPL_write: 1, 6c
OPL_write: 0, b7
OPL_write: 1, 26
OPL_write: 0, b5
OPL_write: 1, 2
OPL_write: 0, b6
OPL_write: 1, 2
OPL_write: 0, b7
OPL_write: 1, 6
OPL_write: 0, 55
OPL_write: 1, 3f
OPL_write: 0, 35
OPL_write: 1, 94
OPL_write: 0, 75
OPL_write: 1, f4
OPL_write: 0, 95
OPL_write: 1, 36
OPL_write: 0, f5
OPL_write: 1, 0
OPL_write: 0, 52
OPL_write: 1, 3f
OPL_write: 0, 32
OPL_write: 1, 30
OPL_write: 0, 72
OPL_write: 1, f1
OPL_write: 0, 92
OPL_write: 1, 5
OPL_write: 0, f2
OPL_write: 1, 1
OPL_write: 0, c8
OPL_write: 1, 37
OPL_write: 0, 55
OPL_write: 1, c
OPL_write: 0, 52
OPL_write: 1, c
OPL_write: 0, a8
OPL_write: 1, 8b
OPL_write: 0, b8
OPL_write: 1, 22
OPL_write: 0, 44
OPL_write: 1, bf
OPL_write: 0, 24
OPL_write: 1, 60
OPL_write: 0, 64
OPL_write: 1, ff
OPL_write: 0, 84
OPL_write: 1, 7
OPL_write: 0, e4
OPL_write: 1, 1
OPL_write: 0, 41
OPL_write: 1, 9e
OPL_write: 0, 21
OPL_write: 1, e2
OPL_write: 0, 61
OPL_write: 1, f2
OPL_write: 0, 81
OPL_write: 1, 17
OPL_write: 0, e1
OPL_write: 1, 0
OPL_write: 0, c1
OPL_write: 1, 30
OPL_write: 0, 44
OPL_write: 1, 8c
OPL_write: 0, a1
OPL_write: 1, 8b
OPL_write: 0, b1
OPL_write: 1, 22
OPL_write: 0, 45
OPL_write: 1, bf
OPL_write: 0, 25
OPL_write: 1, a0
OPL_write: 0, 65
OPL_write: 1, ff
OPL_write: 0, 85
OPL_write: 1, 7
OPL_write: 0, e5
OPL_write: 1, 0
OPL_write: 0, 42
OPL_write: 1, 9e
OPL_write: 0, 22
OPL_write: 1, e0
OPL_write: 0, 62
OPL_write: 1, f2
OPL_write: 0, 82
OPL_write: 1, 17
OPL_write: 0, e2
OPL_write: 1, 1
OPL_write: 0, c2
OPL_write: 1, 30
OPL_write: 0, 45
OPL_write: 1, 8c
OPL_write: 0, a2
OPL_write: 1, 90
OPL_write: 0, b2
OPL_write: 1, 26
OPL_write: 0, b8
OPL_write: 1, 2
OPL_write: 0, b1
OPL_write: 1, 2
OPL_write: 0, b2
OPL_write: 1, 6
OPL_write: 0, 4b
OPL_write: 1, 3f
OPL_write: 0, 2b
OPL_write: 1, 94
OPL_write: 0, 6b
OPL_write: 1, f4
OPL_write: 0, 8b
OPL_write: 1, 36
OPL_write: 0, eb
OPL_write: 1, 0
OPL_write: 0, 48
OPL_write: 1, 3f
OPL_write: 0, 28
OPL_write: 1, 30
OPL_write: 0, 68
OPL_write: 1, f1
OPL_write: 0, 88
OPL_write: 1, 5
OPL_write: 0, e8
OPL_write: 1, 1
OPL_write: 0, c3
OPL_write: 1, 37
OPL_write: 0, 4b
OPL_write: 1, c
OPL_write: 0, 48
OPL_write: 1, c
OPL_write: 0, a3
OPL_write: 1, b1
OPL_write: 0, b3
OPL_write: 1, 22
OPL_write: 0, 4c
OPL_write: 1, bf
OPL_write: 0, 2c
OPL_write: 1, 60
OPL_write: 0, 6c
OPL_write: 1, ff
OPL_write: 0, 8c
OPL_write: 1, 7
OPL_write: 0, ec
OPL_write: 1, 1
OPL_write: 0, 49
OPL_write: 1, 9e
OPL_write: 0, 29
OPL_write: 1, e2
OPL_write: 0, 69
OPL_write: 1, f2
OPL_write: 0, 89
OPL_write: 1, 17
OPL_write: 0, e9
OPL_write: 1, 0
OPL_write: 0, c4
OPL_write: 1, 30
OPL_write: 0, 4c
OPL_write: 1, 8c
OPL_write: 0, a4
OPL_write: 1, b1
OPL_write: 0, b4
OPL_write: 1, 22
OPL_write: 0, 4d
OPL_write: 1, bf
OPL_write: 0, 2d
OPL_write: 1, a0
OPL_write: 0, 6d
OPL_write: 1, ff
OPL_write: 0, 8d
OPL_write: 1, 7
OPL_write: 0, ed
OPL_write: 1, 0
OPL_write: 0, 4a
OPL_write: 1, 9e
OPL_write: 0, 2a
OPL_write: 1, e0
OPL_write: 0, 6a
OPL_write: 1, f2
OPL_write: 0, 8a
OPL_write: 1, 17
OPL_write: 0, ea
OPL_write: 1, 1
OPL_write: 0, c5
OPL_write: 1, 30
OPL_write: 0, 4d
OPL_write: 1, 8c
OPL_write: 0, a5
OPL_write: 1, b7
OPL_write: 0, b5
OPL_write: 1, 26
OPL_write: 0, b3
OPL_write: 1, 2
OPL_write: 0, b4
OPL_write: 1, 2
OPL_write: 0, b5
OPL_write: 1, 6
OPL_write: 0, 53
OPL_write: 1, 3f
OPL_write: 0, 33
OPL_write: 1, 94
OPL_write: 0, 73
OPL_write: 1, f4
OPL_write: 0, 93
OPL_write: 1, 36
OPL_write: 0, f3
OPL_write: 1, 0
OPL_write: 0, 50
OPL_write: 1, 3f
OPL_write: 0, 30
OPL_write: 1, 30
OPL_write: 0, 70
OPL_write: 1, f1
OPL_write: 0, 90
OPL_write: 1, 5
OPL_write: 0, f0
OPL_write: 1, 1
OPL_write: 0, c6
OPL_write: 1, 37
OPL_write: 0, 53
OPL_write: 1, c
OPL_write: 0, 50
OPL_write: 1, c
OPL_write: 0, a6
OPL_write: 1, da
OPL_write: 0, b6
OPL_write: 1, 22
OPL_write: 0, 54
OPL_write: 1, bf
OPL_write: 0, 34
OPL_write: 1, 60
OPL_write: 0, 74
OPL_write: 1, ff
OPL_write: 0, 94
OPL_write: 1, 7
OPL_write: 0, f4
OPL_write: 1, 1
OPL_write: 0, 51
OPL_write: 1, 9e
OPL_write: 0, 31
OPL_write: 1, e2
OPL_write: 0, 71
OPL_write: 1, f2
OPL_write: 0, 91
OPL_write: 1, 17
OPL_write: 0, f1
OPL_write: 1, 0
OPL_write: 0, c7
OPL_write: 1, 30
OPL_write: 0, 54
OPL_write: 1, 8c
OPL_write: 0, a7
OPL_write: 1, da
OPL_write: 0, b7
OPL_write: 1, 22
OPL_write: 0, 55
OPL_write: 1, bf
OPL_write: 0, 35
OPL_write: 1, a0
OPL_write: 0, 75
OPL_write: 1, ff
OPL_write: 0, 95
OPL_write: 1, 7
OPL_write: 0, f5
OPL_write: 1, 0
OPL_write: 0, 52
OPL_write: 1, 9e
OPL_write: 0, 32
OPL_write: 1, e0
OPL_write: 0, 72
OPL_write: 1, f2
OPL_write: 0, 92
OPL_write: 1, 17
OPL_write: 0, f2
OPL_write: 1, 1
OPL_write: 0, c8
OPL_write: 1, 30
OPL_write: 0, 55
OPL_write: 1, 8c
OPL_write: 0, a8
OPL_write: 1, e1
OPL_write: 0, b8
OPL_write: 1, 26
OPL_write: 0, b6
OPL_write: 1, 2
OPL_write: 0, b7
OPL_write: 1, 2
OPL_write: 0, b8
OPL_write: 1, 6
OPL_write: 0, 44
OPL_write: 1, 3f
OPL_write: 0, 24
OPL_write: 1, 94
OPL_write: 0, 64
OPL_write: 1, f4
OPL_write: 0, 84
OPL_write: 1, 36
OPL_write: 0, e4
OPL_write: 1, 0
OPL_write: 0, 41
OPL_write: 1, 3f
OPL_write: 0, 21
OPL_write: 1, 30
OPL_write: 0, 61
OPL_write: 1, f1
OPL_write: 0, 81
OPL_write: 1, 5
OPL_write: 0, e1
OPL_write: 1, 1
OPL_write: 0, c1
OPL_write: 1, 37
OPL_write: 0, 44
OPL_write: 1, c
OPL_write: 0, 41
OPL_write: 1, c
OPL_write: 0, a1
OPL_write: 1, 6
OPL_write: 0, b1
OPL_write: 1, 23
OPL_write: 0, 45
OPL_write: 1, bf
OPL_write: 0, 25
OPL_write: 1, 60
OPL_write: 0, 65
OPL_write: 1, ff
OPL_write: 0, 85
OPL_write: 1, 7
OPL_write: 0, e5
OPL_write: 1, 1
OPL_write: 0, 42
OPL_write: 1, 9e
OPL_write: 0, 22
OPL_write: 1, e2
OPL_write: 0, 62
OPL_write: 1, f2
OPL_write: 0, 82
OPL_write: 1, 17
OPL_write: 0, e2
OPL_write: 1, 0
OPL_write: 0, c2
OPL_write: 1, 30
OPL_write: 0, 45
OPL_write: 1, 8c
OPL_write: 0, a2
OPL_write: 1, 6
OPL_write: 0, b2
OPL_write: 1, 23
OPL_write: 0, 4b
OPL_write: 1, bf
OPL_write: 0, 2b
OPL_write: 1, a0
OPL_write: 0, 6b
OPL_write: 1, ff
OPL_write: 0, 8b
OPL_write: 1, 7
OPL_write: 0, eb
OPL_write: 1, 0
OPL_write: 0, 48
OPL_write: 1, 9e
OPL_write: 0, 28
OPL_write: 1, e0
OPL_write: 0, 68
OPL_write: 1, f2
OPL_write: 0, 88
OPL_write: 1, 17
OPL_write: 0, e8
OPL_write: 1, 1
OPL_write: 0, c3
OPL_write: 1, 30
OPL_write: 0, 4b
OPL_write: 1, 8c
OPL_write: 0, a3
OPL_write: 1, d
OPL_write: 0, b3
OPL_write: 1, 27
OPL_write: 0, b1
OPL_write: 1, 3
OPL_write: 0, b0
OPL_write: 1, b
OPL_write: 0, b2
OPL_write: 1, 3
OPL_write: 0, b3
OPL_write: 1, 7
OPL_write: 0, 40
OPL_write: 1, 3f
OPL_write: 0, 41
OPL_write: 1, 3f
OPL_write: 0, 42
OPL_write: 1, 3f
OPL_write: 0, 43
OPL_write: 1, 3f
OPL_write: 0, 44
OPL_write: 1, 3f
OPL_write: 0, 45
OPL_write: 1, 3f
OPL_write: 0, 46
OPL_write: 1, 3f
OPL_write: 0, 47
OPL_write: 1, 3f
OPL_write: 0, 48
OPL_write: 1, 3f
OPL_write: 0, 49
OPL_write: 1, 3f
OPL_write: 0, 4a
OPL_write: 1, 3f
OPL_write: 0, 4b
OPL_write: 1, 3f
OPL_write: 0, 4c
OPL_write: 1, 3f
OPL_write: 0, 4d
OPL_write: 1, 3f
OPL_write: 0, 4e
OPL_write: 1, 3f
OPL_write: 0, 4f
OPL_write: 1, 3f
OPL_write: 0, 50
OPL_write: 1, 3f
OPL_write: 0, 51
OPL_write: 1, 3f
OPL_write: 0, 52
OPL_write: 1, 3f
OPL_write: 0, 53
OPL_write: 1, 3f
OPL_write: 0, 54
OPL_write: 1, 3f
OPL_write: 0, 55
OPL_write: 1, 3f
OPL_write: 0, 60
OPL_write: 1, 0
OPL_write: 0, 61
OPL_write: 1, 0
OPL_write: 0, 62
OPL_write: 1, 0
OPL_write: 0, 63
OPL_write: 1, 0
OPL_write: 0, 64
OPL_write: 1, 0
OPL_write: 0, 65
OPL_write: 1, 0
OPL_write: 0, 66
OPL_write: 1, 0
OPL_write: 0, 67
OPL_write: 1, 0
OPL_write: 0, 68
OPL_write: 1, 0
OPL_write: 0, 69
OPL_write: 1, 0
OPL_write: 0, 6a
OPL_write: 1, 0
OPL_write: 0, 6b
OPL_write: 1, 0
OPL_write: 0, 6c
OPL_write: 1, 0
OPL_write: 0, 6d
OPL_write: 1, 0
OPL_write: 0, 6e
OPL_write: 1, 0
OPL_write: 0, 6f
OPL_write: 1, 0
OPL_write: 0, 70
OPL_write: 1, 0
OPL_write: 0, 71
OPL_write: 1, 0
OPL_write: 0, 72
OPL_write: 1, 0
OPL_write: 0, 73
OPL_write: 1, 0
OPL_write: 0, 74
OPL_write: 1, 0
OPL_write: 0, 75
OPL_write: 1, 0
OPL_write: 0, 76
OPL_write: 1, 0
OPL_write: 0, 77
OPL_write: 1, 0
OPL_write: 0, 78
OPL_write: 1, 0
OPL_write: 0, 79
OPL_write: 1, 0
OPL_write: 0, 7a
OPL_write: 1, 0
OPL_write: 0, 7b
OPL_write: 1, 0
OPL_write: 0, 7c
OPL_write: 1, 0
OPL_write: 0, 7d
OPL_write: 1, 0
OPL_write: 0, 7e
OPL_write: 1, 0
OPL_write: 0, 7f
OPL_write: 1, 0
OPL_write: 0, 80
OPL_write: 1, 0
OPL_write: 0, 81
OPL_write: 1, 0
OPL_write: 0, 82
OPL_write: 1, 0
OPL_write: 0, 83
OPL_write: 1, 0
OPL_write: 0, 84
OPL_write: 1, 0
OPL_write: 0, 85
OPL_write: 1, 0
OPL_write: 0, 86
OPL_write: 1, 0
OPL_write: 0, 87
OPL_write: 1, 0
OPL_write: 0, 88
OPL_write: 1, 0
OPL_write: 0, 89
OPL_write: 1, 0
OPL_write: 0, 8a
OPL_write: 1, 0
OPL_write: 0, 8b
OPL_write: 1, 0
OPL_write: 0, 8c
OPL_write: 1, 0
OPL_write: 0, 8d
OPL_write: 1, 0
OPL_write: 0, 8e
OPL_write: 1, 0
OPL_write: 0, 8f
OPL_write: 1, 0
OPL_write: 0, 90
OPL_write: 1, 0
OPL_write: 0, 91
OPL_write: 1, 0
OPL_write: 0, 92
OPL_write: 1, 0
OPL_write: 0, 93
OPL_write: 1, 0
